Run ID,Timestamp,Model + Version,Input Tokens,Output Tokens,Total Tokens,Wall-Clock Time,Tool-Reported Time,Files Produced,Lines of Code,Runs in Browser?,App Quality Notes,Code Quality Notes
candidates-001,2026-04-12 19:38:05,claude-haiku-4-5,47.00,"6,398.00","6,445.00",0:39,0:36,1: index.html,651,Yes,"Neon casino theme with payout table, confetti, AI roasts, keyboard/mobile support but no sound; fixed 50-token bet limits player agency but overall polish is strong.","Clean structure, uses Promise.all for parallel reels. Dead vibrate wrapper at bottom."
candidates-002,2026-04-12 19:42:45,claude-haiku-4-5,47.00,"6,200.00","6,247.00",0:39,0:36,1: index.html,638,Yes,"Clean white UI with variable bet, achievement system, and sound effects; payout rules are not displayed to the player, but feature set is solid.",Readable procedural code with separate functions per concern.
candidates-003,2026-04-12 19:44:42,claude-haiku-4-5,47.00,"5,313.00","5,360.00",0:33,0:31,1: index.html,543,Yes,"Dark gold casino UI with unique dual-machine layout; fixed bet, only 3-match wins at 5x, stats tracking; sound effects (Web Audio). Creative concept but shallow win conditions make gameplay monotonous.","Short and readable, but inline onclick handlers and unused aiRoasts array (dead code)."
candidates-004,2026-04-12 19:46:07,claude-haiku-4-5,47.00,"5,900.00","5,947.00",0:36,0:33,1: index.html,632,Yes,"Dark purple/gold UI with auto-hiding results; adjustable bet, localStorage persistence, idle AI messages, spacebar spin; no sound. Most game-like UX with state persistence across sessions.","Readable structure, but unnecessary setInterval polling."
candidates-005,2026-04-12 19:51:03,claude-haiku-4-5,47.00,"7,448.00","7,495.00",0:43,0:41,1: index.html,781,Yes,"Clean white UI with toast notifications; player-vs-AI framing, quick-bet buttons, game-over detection; sound effects (Web Audio). 2-match partial wins and token refill button make it the most addictive of the set",Best-organized: object-literal module cleanly encapsulates state.
candidates-006,2026-04-12T03:41:40-07:00,claude-haiku-4-5,47.00,"7,021.00","7,068.00",0:43,0:43,1: index.html,649,Yes,"Works nicley no bugs,even has sound,Fully functional polished engaging app",Clean structured efficient readable code
candidates-007,2026-04-12T03:56:20-07:00,claude-haiku-4-5,47.00,"5,424.00","5,471.00",0:35,0:35,1: index.html,557,Yes,"Works nicley ,no sound",Clean structured efficient readable code
candidates-008,2026-04-12T04:02:10-07:00,claude-haiku-4-5,47.00,"5,949.00","5,996.00",0:37,0:37,1: index.html,652,Partial,"Displayed the game , but didnt run",Clean structured efficient readable code
candidates-009,2026-04-12T04:07:35-07:00,claude-haiku-4-5,47.00,"6,266.00","6,313.00",0:39,0:39,1: index.html,645,Yes,"works nicley , yellow display, no sound ",Clean structured efficient readable code
candidates-010,2026-04-12T04:12:40-07:00,claude-haiku-4-5,47.00,"5,391.00","5,438.00",0:33,0:33,1: index.html,618,Yes,"works nicley ,white display , no sund",Clean structured efficient readable code
candidates-011,2026-04-12T16:30:39-07:00,Claude Haiku 4.5,55.00,"35,473.00","35,528.00",0:55,0:51,"3: index.html, script.js, style.css",641,Yes,"The game almost works, but the spinning is dysfunctional. UI is decent.","Decently clean code written in a simple, procedural style"
candidates-012,2026-04-12T16:54:10-07:00,Claude Haiku 4.5,52.00,"34,996.00","35,048.00",0:52,0:49,"3: index.html, script.js, styles.css",644,Yes,"Can only spin once, then must reset. UI is poor.","Functions are all over the place, and there are some unused variables"
candidates-013,2026-04-12T17:07:56-07:00,Claude Haiku 4.5,53.00,"35,883.00","35,936.00",0:52,0:51,"3: index.html, script.js, style.css",713,Yes,"Kind of works, but the UI is broken.","OOP, but with giant functions and switch statements. Bad."
candidates-014,2026-04-12T17:46:37-07:00,Claude Haiku 4.5,55.00,"33,847.00","33,902.00",0:43,0:39,1: index.html,517,Yes,"Mostly works, though the spinning animation is shoddy. UI looks nice.","Everything is in one file, but the code is otherwise reasonably clean."
candidates-015,2026-04-12T17:53:59-07:00,Claude Haiku 4.5,93.00,"36,069.00","36,162.00",1:04,0:56,"3: index.html, script.js, style.css",726,Yes,"The game almost works, but the spinning is dysfunctional. UI looks nice.","Decently clean code written in a simple, procedural style"
candidates-016,2026-04-12T15:49:20-07:00,Claude Haiku 4.5,62.00,"3,000.00","3,062.00",0:56,0:52,"3: index.html, script.js, style.css",635,Yes,"fully functional, clean and simple ui","clean code, has some comments"
candidates-017,2026-04-12T16:40:35-0700,Claude Haiku 4.5,65.00,"3,600.00","4,804.00",0:54,0:53,"3: index.html, script.js, style.css",696,Yes,"fully functional, more detailed ui, subtle text animation","good spacing, decent amount of comments"
candidates-018,2026-04-12T16:50:24-0700,Claude Haiku 4.5,82.00,"4,200.00","4,282.00",0:36,0:34,1: index.html,532,Yes,"can only spin once, then the spin button does nothing, have to reset - Worst Run","put everything in one file, messy code, not easy to follow"
candidates-019,2026-04-12T16:59:58-0700,Claude Haiku 4.5,55.00,"3,800.00","3,855.00",0:50,0:47,"3: index.html, script.js, styles.css",657,Yes,"fully functional, aggressive text animation, stylized - Best Run","some comments, lot of code for styles and animation"
candidates-020,2026-04-12T17:07:07-0700,Claude Haiku 4.5,78.00,"3,400.00","3,478.00",0:46,0:45,"3: index.html, script.js, style.css",629,Yes,"full functional, black font on black background, minimal animation","few comments, overall clean"
candidates-021,2026-04-12T19:19:39-07:00,Claude Haiku 4.5,544.00,"57,600.00","58,144.00",0:56,0:53,"3: index.html, script.js, styles.css",683,Partial,"Although it runs, the animation for spinning is broken. Token calculations, token cap is functional. No sound.","Few comments, but overall keeps a clean structure"
candidates-022,2026-04-12T21:16:21-07:00,Claude Haiku 4.5,542.00,"56,700.00","57,242.00",0:57,0:53,"3: index.html, script.js, styles.css",752,Partial,The spinning animation also broken. Has a built in store with fake micro-transactions.  No sound also.,"Some more comments, while also keeping a clear structure"
candidates-023,2026-04-12T22:55:27-07:00,Calude Haiku 4.5,590.00,"61,100.00","61,690.00",1:08,1:04,"3: index.html, script.js, styles.css",790,Yes,"Spinning animation less broken, cause you can see the result. Pretty simple spin and reset capability. Does have sound effects.","There are some comments, and the structure is pretty clean as well"
candidates-024,2026-04-12T23:05:03-07:00,Claude Haiku 4.5,520.00,"54,900.00","55,420.00",0:48,0:45,"3: index.html, script.js, style.css",567,Yes,"Spinning animation similar to 023 where you can see result at end, but still slightly broken. No audio again, and this wheel has minimal features, you can literally only spin.","Few comments, but the code is still readable and structured"
candidates-025,2026-04-12T23:12:38-07:00,Calude Haiku 4.5,584.00,"61,600.00","62,184.00",1:11,1:08,"3: index.html, script.js, style.css",782,Yes,"The spinning animation doesn't go offscreen anymore, yet it still stutters weirdly. No sound again, but you can change your bet this time.","Few comments again, but maintains a readable structure"
candidates-026,2026-04-12T12:24:17-07:00,Claude Haiku 4.5,428.00,"13,700.00","14,128.00",0:47,0:47,"3: index.html, script.js, style.css",603,Yes,"The spinning animation is broken and the wheels fly offscreen, the UI looks kind of bad generally",Few comments but structured
candidates-027,2026-04-12T12:47:25-07:00,Claude Haiku 4.5,434.00,"7,200.00","7,634.00",0:49,0:48,"3: index.html, script.js, style.css",664,Yes,The wheels disappear entirely when spun and the UI looks better but still not good,Few comments but structured well
candidates-028,2026-04-12T12:52:38-07:00,Claude Haiku 4.5,426.00,"8,900.00","9,326.00",1:06,0:56,"3: index.html, script.js, style.css",852,Yes,"There is a spinning animation, but the emojis disappear after. The UI probably looks the best",No comments but structured
candidates-029,2026-04-12T14:09:03-07:00,Claude Haiku 4.5,410.00,"8,400.00","8,810.00",1:04,0:56,"3: index.html, script.js, style.css",807,Yes,"The program sometimes doesn't spin properly, but other times works fine","Clean structure, no comments"
candidates-030,2026-04-12T14:12:33-07:00,Claude Haiku 4.5,394.00,"4,900.00","5,294.00",0:33,0:30,1: index.html,452,Yes,"This program probably is the most consistent and looks the best, even though it is all in one file. The only one where the spinnign actually works every time.","Everything is on one file, which is not a great structure"
candidates-031,2026-04-12T18:18:49-07:00,Claude Haiku 4.5,41.00,"5,085.00","5,126.00",0:51,0:46,"3: index.html, script.js, style.css",679,Yes,Blue and black color scheme with neon green text. Capable of adjusting bet and is able to reset the game. Shows amount won but not amount won. Has no sound. ,Has clean structure but no comments
candidates-032,2026-04-12T19:16:08-07:00,Claude Haiku 4.5,41.00,"4,866.00","4,907.00",0:44,0:42,"3: index.html, script.js, style.css",623,Yes,"Blue and black color scheme. Green, blue, and gray text. Unable to adjust bet size, spin annimation is broken. Does not show amount won or lost. No sound",Has clean structure but very few comments
candidates-033,2026-04-12T19:26:24-7:00,Claude Haiku 4.5,61.00,"4,375.00","4,436.00",0:38,0:42,1: index.html,553,Yes,Blue and black color scheme with yellow border. Blue and yellow text. Unable to adjust bet size. Spin animation is slightly broken. Shows amount won and lost.,"Everything is on one file, but code is otherwise clean. No comments."
candidates-034,2026-04-12T19:34:13-7:00,Claude Haiku 4.5,41.00,"5,737.00","5,778.00",0:50,0:54,"3: index.html, script.js, style.css",753,Yes,Blue and black color scheme with blue text. Animations are broken. Unable to adjust bet size. Shows amount won and lost.,Has clean structure but very few comments. There are a lot of bugs in the code.
